username,firstname,lastname,email,password
canye,Coleman,Nye,zack@mxschool.edu,asdf
hcogara,Hannah,O'Gara,zack@mxschool.edu,asdf
ejomalley,Eamon,O'Malley,zack@mxschool.edu,asdf
jlotoole,Justin,O'Toole,zack@mxschool.edu,asdf
oaogunseye,Oluwanifemi,Ogunseye,zack@mxschool.edu,asdf
nhomorihoffe,Natalie,Omori-Hoffe,zack@mxschool.edu,asdf
cparadis,Cedrick,Paradis,zack@mxschool.edu,asdf
yfpatrocinio,Yareimy,Patrocinio,zack@mxschool.edu,asdf
ilpatry,Isabelle,Patry,zack@mxschool.edu,asdf
mjpelletier,Matthew,Pelletier,zack@mxschool.edu,asdf
ajperoni,Aaron,Peroni,zack@mxschool.edu,asdf
terickson,Tom,Erickson,zack@mxschool.edu,asdf
efagundo,Eduardo,Fagundo,zack@mxschool.edu,asdf
cfein,Courtney,Fein,zack@mxschool.edu,asdf
afernandez,Alex,Fernandez,zack@mxschool.edu,asdf
cjmcdonald,Chuck,McDonald,cjmcdonald@mxschool.edu,asdf
cpcaspar,Cannon,Caspar,cpcaspar@mxschool.edu,asdf
